Requirement ID,Shall Statement,Update Date,Test Case ID
X-SW-REQ-001,The system shall authenticate users using approved credentials.,2025-01-15,
X-SW-REQ-002,The system shall enforce role-based access controls for protected functions.,2025-01-19,TC-C2002
X-SW-REQ-003,The system shall log successful and failed user sign-in attempts.,2025-01-23,
X-SW-REQ-004,The system shall lock a user account after five consecutive failed sign-in attempts.,2025-01-27,TC-C2004
X-SW-REQ-005,The system shall allow authorized administrators to reset user account passwords.,2025-01-31,
X-SW-REQ-006,The system shall require passwords to meet the configured complexity policy.,2025-02-04,TC-C2006
X-SW-REQ-007,The system shall expire temporary passwords after first successful use.,2025-02-08,
X-SW-REQ-008,The system shall encrypt sensitive data while stored in the system database.,2025-02-12,TC-C2008
X-SW-REQ-009,The system shall encrypt sensitive data while transmitted over external interfaces.,2025-02-16,
X-SW-REQ-010,The system shall validate all required fields before saving a user record.,2025-02-20,TC-C2010
X-SW-REQ-011,The system shall display a clear validation message for invalid user input.,2025-02-24,
X-SW-REQ-012,The system shall prevent duplicate user accounts with the same email address.,2025-02-28,TC-C2012
X-SW-REQ-013,The system shall record the creation time and creator for each managed record.,2025-03-04,
X-SW-REQ-014,The system shall record the last modification time and modifier for each managed record.,2025-03-08,TC-C2014
X-SW-REQ-015,The system shall retain audit records for at least seven years.,2025-03-12,
X-SW-REQ-016,The system shall allow authorized users to search records by identifier.,2025-03-16,TC-C2016
X-SW-REQ-017,The system shall allow authorized users to filter records by status and date range.,2025-03-20,
X-SW-REQ-018,The system shall present search results in pageable lists.,2025-03-24,TC-C2018
X-SW-REQ-019,The system shall export authorized search results to comma-separated values format.,2025-03-28,
X-SW-REQ-020,The system shall generate a printable report for an individual record.,2025-04-01,TC-C2020
X-SW-REQ-021,The system shall assign a unique system-generated identifier to each new record.,2025-04-05,
X-SW-REQ-022,The system shall prevent deletion of records that are referenced by active transactions.,2025-04-09,TC-C2022
X-SW-REQ-023,The system shall allow authorized users to archive inactive records.,2025-04-13,
X-SW-REQ-024,The system shall restore archived records only for authorized administrators.,2025-04-17,TC-C2024
X-SW-REQ-025,The system shall display record status using configured status values.,2025-04-21,
X-SW-REQ-026,The system shall notify assigned users when a record is created.,2025-04-25,TC-C2026
X-SW-REQ-027,The system shall notify assigned users when a record is reassigned.,2025-04-29,
X-SW-REQ-028,The system shall notify owners when a record approaches its due date.,2025-05-03,TC-C2028
X-SW-REQ-029,The system shall allow users to acknowledge system notifications.,2025-05-07,
X-SW-REQ-030,The system shall maintain notification delivery history for each notification.,2025-05-11,TC-C2030
X-SW-REQ-031,The system shall synchronize system time with an approved time source.,2025-05-15,
X-SW-REQ-032,The system shall record timestamps in Coordinated Universal Time.,2025-05-19,TC-C2032
X-SW-REQ-033,The system shall display timestamps in the user-selected local time zone.,2025-05-23,
X-SW-REQ-034,The system shall support concurrent access by at least 200 active users.,2025-05-27,TC-C2034
X-SW-REQ-035,The system shall complete standard record retrieval operations within two seconds under normal load.,2025-05-31,
X-SW-REQ-036,The system shall complete standard record save operations within three seconds under normal load.,2025-06-04,TC-C2036
X-SW-REQ-037,The system shall recover service availability within fifteen minutes after a planned restart.,2025-06-08,
X-SW-REQ-038,The system shall perform scheduled backups at least once every 24 hours.,2025-06-12,TC-C2038
X-SW-REQ-039,The system shall verify backup integrity after each scheduled backup.,2025-06-16,
X-SW-REQ-040,The system shall restore backed-up data to a designated recovery environment.,2025-06-20,TC-C2040
X-SW-REQ-041,The system shall monitor application availability and generate an alert after service interruption.,2025-06-24,
X-SW-REQ-042,The system shall monitor available storage capacity and alert when remaining capacity falls below 20 percent.,2025-06-28,TC-C2042
X-SW-REQ-043,The system shall restrict administrative functions to authenticated administrator roles.,2025-07-02,
X-SW-REQ-044,The system shall terminate inactive user sessions after 30 minutes.,2025-07-06,TC-C2044
